VendorID ,tpep_pickup_datetime ,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID ,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,12/1/2023 1:44,12/1/2023 1:47,4,0.45,1,N,125,231,1,4.4,1,0.5,1,0,1,10.4,2.5,0
2,12/1/2023 1:13,12/1/2023 1:15,1,0.44,1,N,114,148,1,4.4,1,0.5,20,0,1,29.4,2.5,0
2,12/1/2023 1:01,12/1/2023 1:37,1,26.72,5,N,48,265,1,100,0,0,20.2,0,1,121.2,0,0
2,12/1/2023 1:17,12/1/2023 1:23,1,0.7,1,N,80,80,1,7.2,1,0.5,1.94,0,1,11.64,0,0
2,12/1/2023 1:38,12/1/2023 1:47,1,2.34,1,N,79,170,1,12.1,1,0.5,5.13,0,1,22.23,2.5,0
2,12/1/2023 1:59,12/1/2023 2:15,1,3.79,1,N,163,232,1,19.8,1,0.5,4.96,0,1,29.76,2.5,0
1,12/1/2023 1:19,12/1/2023 1:22,1,0.5,1,N,246,68,1,4.4,3.5,0.5,1,0,1,10.4,2.5,0
2,12/1/2023 1:45,12/1/2023 1:46,1,0,5,N,41,41,1,50,0,0,5,0,1,56,0,0
2,12/1/2023 1:08,12/1/2023 1:30,4,3.93,1,N,79,163,1,22.6,1,0.5,2,0,1,29.6,2.5,0
2,12/1/2023 1:22,12/1/2023 1:38,1,2.26,1,N,87,33,2,12.8,1,0.5,0,0,1,17.8,2.5,0
2,12/1/2023 1:45,12/1/2023 1:45,1,0,5,N,33,33,1,17.8,0,0,3.76,0,1,22.56,0,0
2,12/1/2023 1:44,12/1/2023 2:00,1,4.57,1,N,249,40,1,21.9,1,0.5,5.38,0,1,32.28,2.5,0
2,12/1/2023 1:55,12/1/2023 2:01,2,1.12,1,N,144,113,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,12/1/2023 1:00,12/1/2023 1:13,1,4.59,1,N,161,74,1,19.8,1,0.5,4.96,0,1,29.76,2.5,0
1,12/1/2023 1:09,12/1/2023 1:13,1,0.4,1,N,148,148,4,0,0,0,0,0,0,0,0,0
1,12/1/2023 1:34,12/1/2023 1:53,2,6.7,1,N,79,41,1,27.5,3.5,0.5,4,0,1,36.5,2.5,0
2,12/1/2023 1:16,12/1/2023 1:27,1,2.56,1,N,166,236,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,12/1/2023 1:09,12/1/2023 1:20,1,4.51,1,N,232,33,1,19.8,1,0.5,6.2,0,1,31,2.5,0
1,12/1/2023 1:02,12/1/2023 1:07,1,1.2,1,N,113,164,1,7.9,3.5,0.5,2.55,0,1,15.45,2.5,0
2,12/1/2023 1:00,12/1/2023 1:04,1,0.8,1,N,237,236,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:13,12/1/2023 1:18,2,0.8,1,N,237,162,2,7.2,1,0.5,0,0,1,12.2,2.5,0
2,12/1/2023 1:25,12/1/2023 1:33,1,2.99,1,N,237,238,1,13.5,1,0.5,3,0,1,21.5,2.5,0
2,12/1/2023 1:23,12/1/2023 1:39,1,4.81,1,N,114,236,1,21.2,1,0.5,1,0,1,27.2,2.5,0
2,12/1/2023 1:52,12/1/2023 2:05,1,4.44,1,N,87,107,1,20.5,1,0.5,5.1,0,1,30.6,2.5,0
2,12/1/2023 1:16,12/1/2023 1:18,1,0.76,1,N,229,233,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
1,12/1/2023 1:36,12/1/2023 1:42,1,0.9,1,N,50,230,2,7.2,3.5,0.5,0,0,1,12.2,2.5,0
1,12/1/2023 1:53,12/1/2023 2:01,1,1.7,1,N,234,249,1,10,3.5,0.5,4.5,0,1,19.5,2.5,0
2,12/1/2023 1:10,12/1/2023 1:19,2,1.9,1,N,211,88,2,11.4,1,0.5,0,0,1,16.4,2.5,0
2,12/1/2023 1:49,12/1/2023 1:53,1,0.8,1,N,170,229,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:06,12/1/2023 1:28,1,6.91,1,N,262,94,1,30.3,1,0.5,3.53,0,1,38.83,2.5,0
2,12/1/2023 1:10,12/1/2023 1:19,1,1.79,1,N,114,137,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,12/1/2023 1:24,12/1/2023 1:31,2,1.34,1,N,166,238,1,9.3,1,0.5,2.95,0,1,14.75,0,0
2,12/1/2023 1:49,12/1/2023 2:10,1,5.72,1,N,234,255,1,27.5,1,0.5,0,0,1,32.5,2.5,0
2,12/1/2023 1:07,12/1/2023 1:09,2,0.38,1,N,148,45,1,4.4,1,0.5,1.88,0,1,11.28,2.5,0
2,12/1/2023 1:19,12/1/2023 1:29,2,2.69,1,N,148,255,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,12/1/2023 1:53,12/1/2023 2:05,1,2.29,1,N,144,224,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,12/1/2023 1:16,12/1/2023 1:23,1,2.02,1,N,90,161,2,10.7,1,0.5,0,0,1,15.7,2.5,0
2,12/1/2023 1:22,12/1/2023 1:34,1,2.16,1,N,234,161,2,14.2,1,0.5,0,0,1,19.2,2.5,0
2,12/1/2023 1:42,12/1/2023 2:02,1,4.56,1,N,163,261,1,23.3,1,0.5,4.24,0,1,32.54,2.5,0
2,12/1/2023 1:11,12/1/2023 1:19,3,1.38,1,N,249,231,1,10,1,0.5,0,0,1,15,2.5,0
2,12/1/2023 1:19,12/1/2023 1:31,1,2.03,1,N,164,163,1,13.5,1,0.5,2,0,1,20.5,2.5,0
2,12/1/2023 1:44,12/1/2023 1:58,1,3.37,1,N,186,263,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
1,12/1/2023 1:47,12/1/2023 1:51,1,1.4,1,N,137,229,1,7.2,3.5,0.5,2.45,0,1,14.65,2.5,0
1,12/1/2023 1:08,12/1/2023 1:13,1,0.7,1,N,113,79,1,7.2,3.5,0.5,2,0,1,14.2,2.5,0
2,12/1/2023 1:36,12/1/2023 1:43,1,2.99,1,N,237,74,2,13.5,1,0.5,0,0,1,18.5,2.5,0
2,12/1/2023 1:32,12/1/2023 1:41,3,2.54,1,N,249,163,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:25,12/1/2023 1:36,2,1.73,1,N,234,233,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,12/1/2023 1:28,12/1/2023 1:41,1,3.21,1,N,164,145,1,16.3,1,0.5,5.65,6.94,1,33.89,2.5,0
2,12/1/2023 1:45,12/1/2023 1:57,1,2.33,1,N,145,7,1,14.2,1,0.5,5.01,0,1,21.71,0,0
2,12/1/2023 1:17,12/1/2023 1:28,1,1.7,1,N,158,107,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,12/1/2023 1:46,12/1/2023 2:14,1,10.97,1,N,114,258,1,46.4,1,0.5,10.28,0,1,61.68,2.5,0
1,12/1/2023 1:53,12/1/2023 2:01,1,1.8,1,N,234,229,2,14.2,3.5,0.5,0,0,1,19.2,2.5,0
2,12/1/2023 1:04,12/1/2023 1:13,1,1.31,1,N,13,144,1,10,1,0.5,3,0,1,18,2.5,0
2,12/1/2023 1:22,12/1/2023 1:29,1,1.05,1,N,232,79,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
1,12/1/2023 1:01,12/1/2023 1:09,2,2.2,1,N,113,261,2,12.1,3.5,0.5,0,0,1,17.1,2.5,0
2,12/1/2023 1:15,12/1/2023 1:26,1,2.61,1,N,211,100,2,14.2,1,0.5,0,0,1,19.2,2.5,0
2,12/1/2023 1:38,12/1/2023 1:46,1,1.94,1,N,164,141,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:24,12/1/2023 1:28,2,0.85,1,N,263,141,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:09,12/1/2023 1:57,1,29.68,5,N,161,265,1,100,0,0,30.3,0,1,131.3,0,0
2,12/1/2023 1:43,12/1/2023 1:56,1,4.56,1,N,229,45,2,21.2,1,0.5,0,0,1,26.2,2.5,0
2,12/1/2023 1:22,12/1/2023 1:26,1,0.58,1,N,158,249,1,5.8,1,0.5,1,0,1,11.8,2.5,0
2,12/1/2023 1:27,12/1/2023 1:34,2,0.97,1,N,79,144,1,8.6,1,0.5,2,0,1,15.6,2.5,0
2,12/1/2023 1:16,12/1/2023 1:37,1,5.32,1,N,75,226,1,26.8,1,0.5,6.36,0,1,38.16,2.5,0
1,12/1/2023 1:11,12/1/2023 1:36,1,9.7,1,N,68,243,2,42.2,2.5,0.5,0,0,1,46.2,2.5,0
2,12/1/2023 1:20,12/1/2023 1:30,1,2.49,1,N,142,68,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:05,12/1/2023 1:12,1,1.57,1,N,114,170,1,10,1,0.5,1.5,0,1,16.5,2.5,0
2,12/1/2023 1:29,12/1/2023 1:35,1,1.5,1,N,114,137,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,12/1/2023 1:56,12/1/2023 2:01,1,1.64,1,N,79,233,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
1,12/1/2023 1:10,12/1/2023 1:15,1,1,1,N,229,170,1,7.2,3.5,0.5,1.5,0,1,13.7,2.5,0
1,12/1/2023 1:18,12/1/2023 1:26,1,2.2,1,N,233,262,1,11.4,3.5,0.5,2,0,1,18.4,2.5,0
1,12/1/2023 1:32,12/1/2023 1:36,4,1.1,1,N,141,263,1,7.2,3.5,0.5,2,0,1,14.2,2.5,0
2,12/1/2023 1:08,12/1/2023 1:10,1,1.16,1,N,236,75,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
1,12/1/2023 1:11,12/1/2023 1:13,0,0.6,1,N,186,90,1,5.1,3.5,0.5,2,0,1,12.1,2.5,0
1,12/1/2023 1:31,12/1/2023 1:41,0,2.2,1,N,231,164,1,12.1,3.5,0.5,3.4,0,1,20.5,2.5,0
1,12/1/2023 1:54,12/1/2023 2:17,0,7.5,1,N,211,226,2,33.1,3.5,0.5,0,0,1,38.1,2.5,0
2,12/1/2023 1:11,12/1/2023 1:17,4,1.16,1,N,234,68,1,8.6,1,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:19,12/1/2023 1:26,5,1.26,1,N,68,114,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,12/1/2023 1:52,12/1/2023 1:54,5,0.27,1,N,234,234,1,4.4,1,0.5,1,0,1,10.4,2.5,0
2,12/1/2023 1:09,12/1/2023 1:11,1,0.41,1,N,162,230,2,4.4,1,0.5,0,0,1,9.4,2.5,0
1,12/1/2023 1:06,12/1/2023 1:32,1,5.9,1,N,163,256,1,26.1,3.5,0.5,6.2,0,1,37.3,2.5,0
2,12/1/2023 1:02,12/1/2023 1:16,1,3.28,1,N,90,143,1,17,1,0.5,1.5,0,1,23.5,2.5,0
1,12/1/2023 1:08,12/1/2023 1:14,1,0,1,N,140,262,1,4.4,3.5,0.5,2,0,1,11.4,2.5,0
1,12/1/2023 1:46,12/1/2023 1:55,1,2.2,1,N,79,256,1,11.4,3.5,0.5,3.3,0,1,19.7,2.5,0
2,12/1/2023 1:27,12/1/2023 1:44,2,5.38,1,N,249,151,1,25.4,1,0.5,4.56,0,1,34.96,2.5,0
2,12/1/2023 1:15,12/1/2023 1:33,1,4.36,1,N,230,112,1,21.9,1,0.5,8.46,6.94,1,42.3,2.5,0
2,12/1/2023 1:58,12/1/2023 2:05,1,2.68,1,N,137,141,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
1,12/1/2023 1:31,12/1/2023 1:46,1,3.8,1,N,48,262,1,19.1,3.5,0.5,4.8,0,1,28.9,2.5,0
2,12/1/2023 1:32,12/1/2023 1:35,1,1.11,1,N,249,90,4,-6.5,-1,-0.5,0,0,-1,-11.5,-2.5,0
2,12/1/2023 1:32,12/1/2023 1:35,1,1.11,1,N,249,90,4,6.5,1,0.5,0,0,1,11.5,2.5,0
1,12/1/2023 1:04,12/1/2023 1:04,1,0,1,N,141,141,2,3,3.5,0.5,0,0,1,8,2.5,0
1,12/1/2023 1:21,12/1/2023 1:28,1,1.5,1,N,48,239,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,12/1/2023 1:50,12/1/2023 2:00,1,1.6,1,N,249,68,1,10.7,3.5,0.5,3.15,0,1,18.85,2.5,0
1,12/1/2023 1:57,12/1/2023 2:02,1,1.2,1,N,144,264,1,7.9,3.5,0.5,1.11,0,1,14.01,2.5,0
2,12/1/2023 1:15,12/1/2023 1:20,1,0.63,1,N,48,161,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:24,12/1/2023 1:27,1,0.39,1,N,234,90,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,12/1/2023 1:31,12/1/2023 1:34,1,0.79,1,N,186,100,1,5.8,1,0.5,1.5,0,1,12.3,2.5,0
2,12/1/2023 1:20,12/1/2023 1:29,1,1.7,1,N,234,79,1,11.4,1,0.5,2,0,1,18.4,2.5,0
2,12/1/2023 1:42,12/1/2023 1:47,1,0.78,1,N,211,114,1,7.2,1,0.5,3.66,0,1,15.86,2.5,0
2,12/1/2023 1:53,12/1/2023 2:03,1,2.95,1,N,144,246,2,14.9,1,0.5,0,0,1,19.9,2.5,0
2,12/1/2023 1:05,12/1/2023 1:34,1,4.5,1,N,13,68,2,28.2,1,0.5,0,0,1,33.2,2.5,0
1,12/1/2023 1:10,12/1/2023 1:17,1,0.9,1,N,114,113,1,7.9,3.5,0.5,0,0,1,12.9,2.5,0
1,12/1/2023 1:34,12/1/2023 1:47,1,3.1,1,N,230,262,1,15.6,3.5,0.5,4.1,0,1,24.7,2.5,0
2,12/1/2023 1:39,12/1/2023 1:56,1,3.47,1,N,144,50,1,18.4,1,0.5,0,0,1,23.4,2.5,0
2,12/1/2023 1:29,12/1/2023 1:36,1,1.13,1,N,114,249,1,8.6,1,0.5,2,0,1,15.6,2.5,0
2,12/1/2023 1:49,12/1/2023 1:56,3,1.31,1,N,113,90,1,9.3,1,0.5,1.7,0,1,16,2.5,0
2,12/1/2023 1:57,12/1/2023 2:10,1,6.17,1,N,142,244,1,26.1,1,0.5,4,0,1,35.1,2.5,0
2,12/1/2023 1:04,12/1/2023 1:24,1,8.53,1,N,125,116,1,35.9,1,0.5,0,0,1,40.9,2.5,0
2,12/1/2023 1:30,12/1/2023 1:41,1,2.43,1,N,116,247,2,14.2,1,0.5,0,0,1,16.7,0,0
1,12/1/2023 1:01,12/1/2023 1:06,1,0.6,1,N,158,249,1,5.8,3.5,0.5,0,0,1,10.8,2.5,0
1,12/1/2023 1:31,12/1/2023 1:39,1,1.3,1,N,249,144,2,8.6,3.5,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:32,12/1/2023 1:52,1,5.44,1,N,249,49,1,26.8,1,0.5,7.95,0,1,39.75,2.5,0
2,12/1/2023 1:21,12/1/2023 1:32,1,3.42,1,N,107,262,1,15.6,1,0.5,3.2,0,1,23.8,2.5,0
2,12/1/2023 1:29,12/1/2023 1:37,1,1.98,1,N,230,141,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:38,12/1/2023 1:47,1,2.47,1,N,141,162,1,12.8,1,0.5,4.45,0,1,22.25,2.5,0
1,12/1/2023 1:12,12/1/2023 1:30,1,4.6,1,N,48,75,1,23.3,3.5,0.5,5.65,0,1,33.95,2.5,0
1,12/1/2023 1:49,12/1/2023 1:54,1,1.4,1,N,48,158,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,12/1/2023 1:20,12/1/2023 1:36,1,3.2,1,N,100,148,1,17,3.5,0.5,1,0,1,23,2.5,0
2,12/1/2023 1:12,12/1/2023 1:16,1,0.83,1,N,48,50,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:21,12/1/2023 1:46,2,9.43,1,N,163,95,1,40.1,1,0.5,9.02,0,1,54.12,2.5,0
2,12/1/2023 1:03,12/1/2023 1:10,3,1.19,1,N,142,239,1,9.3,1,0.5,1.43,0,1,15.73,2.5,0
2,12/1/2023 1:29,12/1/2023 1:31,1,0.97,1,N,75,74,1,6.5,1,0.5,1.8,0,1,10.8,0,0
1,12/1/2023 1:42,12/1/2023 1:59,1,5,1,N,144,89,1,22.6,3.5,0.5,0,0,1,27.6,2.5,0
2,12/1/2023 1:30,12/1/2023 1:40,1,2.18,1,N,161,238,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:55,12/1/2023 2:15,1,10.91,1,N,230,220,1,42.9,1,0.5,10.22,3.18,1,61.3,2.5,0
2,12/1/2023 1:10,12/1/2023 1:24,1,2.95,1,N,246,211,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
2,12/1/2023 1:59,12/1/2023 2:10,1,1.91,1,N,148,249,1,12.8,1,0.5,3,0,1,20.8,2.5,0
2,12/1/2023 1:30,12/1/2023 1:32,1,0.44,1,N,246,246,2,4.4,1,0.5,0,0,1,9.4,2.5,0
2,12/1/2023 1:32,12/1/2023 1:39,1,0.74,1,N,87,87,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,12/1/2023 1:27,12/1/2023 1:37,1,1.49,1,N,249,231,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:12,12/1/2023 1:22,1,2.23,1,N,87,33,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:43,12/1/2023 1:51,1,1.57,1,N,107,148,4,-10.7,-1,-0.5,0,0,-1,-15.7,-2.5,0
2,12/1/2023 1:43,12/1/2023 1:51,1,1.57,1,N,107,148,4,10.7,1,0.5,0,0,1,15.7,2.5,0
2,12/1/2023 1:39,12/1/2023 1:49,1,2.11,1,N,249,246,1,12.8,1,0.5,3,0,1,20.8,2.5,0
1,12/1/2023 1:43,12/1/2023 1:54,1,3.4,1,N,79,141,1,15.6,3.5,0.5,4.1,0,1,24.7,2.5,0
2,12/1/2023 1:01,12/1/2023 1:13,4,3.98,1,N,48,166,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
2,12/1/2023 1:23,12/1/2023 1:33,3,2.5,1,N,238,74,1,13.5,1,0.5,0,0,1,18.5,2.5,0
2,12/1/2023 1:29,12/1/2023 1:36,1,1.3,1,N,249,211,2,8.6,1,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:39,12/1/2023 1:42,1,0.16,1,N,211,211,1,4.4,1,0.5,40,0,1,49.4,2.5,0
1,12/1/2023 1:01,12/1/2023 1:09,1,1.4,1,N,114,158,1,10,3.5,0.5,3,0,1,18,2.5,0
1,12/1/2023 1:14,12/1/2023 1:18,1,1,1,N,90,246,1,6.5,3.5,0.5,0,0,1,11.5,2.5,0
1,12/1/2023 1:21,12/1/2023 1:26,1,0.8,1,N,246,234,1,7.2,3.5,0.5,3.65,0,1,15.85,2.5,0
1,12/1/2023 1:43,12/1/2023 2:15,1,9,1,N,262,18,1,42.2,3.5,0.5,5,0,1,52.2,2.5,0
1,12/1/2023 1:54,12/1/2023 1:58,1,0.7,1,N,234,137,1,6.5,3.5,0.5,1.58,0,1,13.08,2.5,0
2,12/1/2023 1:11,12/1/2023 1:20,1,5,1,N,74,47,2,20.5,1,0.5,0,0,1,23,0,0
2,12/1/2023 1:04,12/1/2023 1:21,1,2.04,1,N,246,113,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
2,12/1/2023 1:35,12/1/2023 1:42,1,0.95,1,N,79,249,1,8.6,1,0.5,3.4,0,1,17,2.5,0
2,12/1/2023 1:56,12/1/2023 1:59,1,1.34,1,N,79,233,1,7.2,1,0.5,0,0,1,12.2,2.5,0
2,12/1/2023 1:24,12/1/2023 1:31,2,1.35,1,N,230,246,2,9.3,1,0.5,0,0,1,14.3,2.5,0
1,12/1/2023 1:12,12/1/2023 1:25,1,1.7,1,N,229,50,2,11.4,3.5,0.5,0,0,1,16.4,2.5,0
2,12/1/2023 1:06,12/1/2023 1:15,1,2.14,1,N,90,50,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,12/1/2023 1:23,12/1/2023 1:31,1,2.28,1,N,246,142,1,12.1,1,0.5,1,0,1,18.1,2.5,0
2,12/1/2023 1:36,12/1/2023 1:47,2,7.17,1,N,48,244,1,28.2,1,0.5,6.64,0,1,39.84,2.5,0
2,12/1/2023 1:19,12/1/2023 1:24,1,1.28,1,N,236,75,2,7.9,1,0.5,0,0,1,12.9,2.5,0
2,12/1/2023 1:30,12/1/2023 1:35,1,1.36,1,N,236,74,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,12/1/2023 1:49,12/1/2023 1:54,2,1.27,1,N,263,162,1,7.9,1,0.5,1,0,1,13.9,2.5,0
1,12/1/2023 1:01,12/1/2023 1:14,1,4.4,1,N,45,33,1,19.8,3.5,0.5,5,0,1,29.8,2.5,0
1,12/1/2023 1:36,12/1/2023 1:43,3,0.8,1,N,211,144,1,6.5,3.5,0.5,2.3,0,1,13.8,2.5,0
1,12/1/2023 1:26,12/1/2023 1:31,1,1.2,1,N,79,107,1,7.2,3.5,0.5,2.4,0,1,14.6,2.5,0
2,12/1/2023 1:13,12/1/2023 1:18,1,0.81,1,N,234,186,2,7.2,1,0.5,0,0,1,12.2,2.5,0
1,12/1/2023 1:08,12/1/2023 1:18,1,1.6,1,N,142,162,1,11.4,3.5,0.5,3.25,0,1,19.65,2.5,0
1,12/1/2023 1:37,12/1/2023 1:43,1,1.9,1,N,45,65,1,10,3.5,0.5,2,0,1,17,2.5,0
1,12/1/2023 1:03,12/1/2023 1:15,1,2.1,1,N,170,163,2,13.5,3.5,0.5,0,0,1,18.5,2.5,0
2,12/1/2023 1:15,12/1/2023 1:33,2,3.39,1,N,163,79,1,19.1,1,0.5,4.82,0,1,28.92,2.5,0
2,12/1/2023 1:37,12/1/2023 1:50,2,2.37,1,N,148,158,1,14.2,1,0.5,1,0,1,20.2,2.5,0
